,Primary Subject,Complaint Narrative,Scam Type,Other Subjects,Website
33,Crystal Linkz FX Crystal Linkz FX Link Zen crystallinkzen.com,"A Californian reports he fell victim to a crypto scam after a friend urged him to invest money in a Bitcoin mining company, “Crystal Linkz FX.” Less than two hours after making his initial investment of $950, the victim’s account balance appeared to quintuple, showing a $5,000 profit. When he attempted to invest further funds, the victim was told that he would need to upgrade his account, for $2,000. Victim paid the “upgrade” fee, and received confirmation of the upgrade via email, but then was told he now needed to pay another $2,700 for a “Trading and Mining Validation Pin.” Two weeks after the “Validation Pin” issue was resolved, the Victim was told he needed $3,750 for a “Broker Permit” and a “Withdrawal Permit.” Since his crypto account supposedly held $24,500 in profit at the time, Victim paid the amount and was assured he would be able to withdraw from that account without any further fees. However, when he again tried to initiate a withdrawal, he was redirected to a customer service agent who tried to assess another $3,250 upgrade fee before he could complete the withdrawal. When the victim declined to pay the fee, the company harassed him for months, until he demanded that they close his account and return his total deposit amount. To date, the victim has not received any money back and the website has been taken down.",Fraudulent Trading Platform,Email address:,https://crystallinkzen.com/
34,DCEX Exchange,"The victim transferred more than $1,400,000 from Coinbase to an app-based cryptocurrency trading platform. Victim was able to withdraw more than $45,000. Victim then executed multiple trades through that platform and believed approximately $8-9 million was in the account. But when the victim asked the platform to move the funds back to Coinbase, he was told that the funds were frozen, and that he needed to deposit approximately $600,000 as “verification” that the funds were not laundered. Victim has not been able to withdrawal any more funds and now believes that the platform is a fraud. The company operated a website at https://www. dcex-exchange.com. ",Fraudulent Trading Platform , ,dcex-exchange.com https://www.dcex-exchange.com/mobile/index.html
35,Dahua Top VIP Dahuag VIP,"A California victim believed he was depositing funds in a cryptocurrency exchange on website dahuatop.com. This cryptocurrency exchange has also appeared on uobvip.com and dahuagvip.com. The victim joined the exchange through a representative named ‘Nina.’ After depositing his funds, he attempted to make a withdrawal, but received an email from customerservice.dahua@gmail.com stating that his withdrawal had been interrupted because his digital currency exceeds the taxable limit. In the same message he was instructed to pay 20% of the “total profit of the financial platform” or 6382.65 USDT to receive his withdrawal. The victim has not recovered any of his money and the website is no longer operational.",Fraudulent Trading Platform,C Hing,https://www.uobvip.com/#/home
36,Dapps-eth.io,"A California victim was introduced by an acquaintance to a Defi Trading platform. The victim purchased Tether USDT crypto currency from Crypto.com, then connected his offline wallet to the exchange and began trading USDT/Bitcoin futures contracts. The victim believed he was trading very successfully, so he transferred more money into the platform and believed his acquaintance was also crediting money into his account as well. The victim made a small withdrawal early in the process to ""test"" the process and his withdrawal went through. But after more ""successful"" trades, the victim attempted to make a larger withdrawal. At that point, the exchange informed him it did not allow such a large withdrawal, citing “anti-money laundering” protocol established by the “International Banking Regulatory Bureau,” which required him to trade at least 50% of their deposits in their trading account within 24 hours of attempting a withdrawal. So, the victim deposited more funds into his account, and was told his acquaintance had transferred money into his account as well, so he could withdraw the amount he wanted. The exchange called this process a “recharge.” Again, the victim believed had made more successful trades and now had enough money to make his planned withdraw as he met the minimum trade threshold. This time, the exchange denied the withdrawal request, again citing the “International Banking Regulatory Bureau” concern that his account was being used for money laundering, effectively freezing my account to withdrawals. The victim asked how he could prove he was not a money launderer and was told by the exchange he would need to deposit into his wallet the exact amount he had been trying to withdraw, which was $650,000. The victim contacted his trading partner/acquaintance, and she stated her account had also been frozen and that he would need to comply with the exchanges’ instructions. He asked customer service what to do and was told if he transferred the $650,000 and provided a screen shot of the balance, they would release the funds. The victim took out a loan and deposited about half of the $650,000 in two installments into what he believed was a safe account for such purposes. But as soon as the second deposit went in, without his consent or knowledge the exchange moved the money into his trading account. He protested but was told this was to secure his funds while he finished the verification process. And that the only way to access his money would be to deposit the remaining funds to get to $650,000, although they said they would allow him to trade in the account – just not make withdrawals. His money is now trapped, and he is concerned that there might be problems with the exchange. He is also suspicious about his acquaintance, who told him she followed the exchange’s instructions, borrowed money, and was finally able to withdraw her money and thus encouraged him to borrow more money as well.  ",Pig Butchering Scam  Fraudulent Trading Platform,  ,https://dapps-eth.io/  
37,Dilong Trading Limited Affirm Rich Trading Company Limited,"The victim met “Gina Lee’ online who asked him to wire money to the Meta Trader 5 platform to trade cryptocurrency through Dilong Trading Limited. Then his bank called and warned him it’s possibly a fraud scheme. Victim lost $120,000.",Pig Butchering Scam,Gina Lee,
38,ETH Finance ETH-Finance.io,"A California resident reports they recently fell victim to a scam, after they met a stranger online who offered to teach him how to make money trading crypto options. The stranger walked the victim through how to setup apps and create a Coinbase wallet. The stranger encouraged the victim to start by investing $2,850. Then, the stranger told the victim they were making profits and pushed him to add more funds. Eventually the victim even took out loans to put in more money, as the stranger directed him. Right before Christmas, the Victim was successfully able withdraw $5,000. Eventually, the Victim believed his account balance contained more money than he had ever seen in his lifetime and tried to make another withdrawal from the Coinbase wallet. This time, the Victim was told by a “customer service” person via the Telegram app that he now needed to pay “taxes” in the amount of 25% of his profits before they would release his funds. At this point, the Victim realized it was a scam. He tried to get his money back, even complaining to someone named Sarah he was corresponding with who claimed to be the “CEO of Crypto Customer Service.” The Victim lost $165,286.55.",Pig Butchering Scam,,http://eth-finance.io/
39,Energise Trade energisetrade.com,"A California victim reports that “Bill” reached out to her via Instagram where they communicated for about 2 weeks before Bill asked to move the conversation to WhatsApp. Bill then mentioned trading in crypto assets and asked if she was interested. The victim agreed and Bill sent her the links and instructed her on how to create accounts on and the platform Energise Trade. With Bill’s help, the victim started trading Etheruem (ETH) on Energise Trade platform. Eventually, the victim had made dozens of transactions, and was ready to withdraw her funds. At that point, she was told by Energise Trade customer service that she had to pay taxes first. Then she was told that because she had used another ID number (i.e., Bill’s Energise account) she would pay taxes again, this time from her own account. After that, she was told to deposit more money to increase her credit score so that she could withdraw a larger amount of funds. At this point, the victim realized it was a scam. The victim reports losing about $203,900 to the scam.",Pig Butchering Scam,Bill,https://www.energisetrade.com/
40,Entity Impersonating CME Group/XCME TEAM,"The victim met “Mia” on WhatsApp who told him about an investment opportunity he thought was related to the Chicago Merchant Exchange. Victim was directed by the online stranger to send money to a website. Victim invested nearly $25,000 and was emailed account statements from cme.authority@gmail.com showing he had made profits of nearly $100,000. When the victim tried to withdraw funds, he received an email stating he needed to pay another $24,000 in taxes to release the funds. The company also claimed penalties would be charged if the taxes weren’t paid on time. Victim became suspicious that the company was using a gmail.com email address and realized he had been scammed for approximately $60,000 total. The company operated the websites at https://cmecrypto.com; cme886.cuz; cmebuy.com; and xcmerde3.top.      ",Pig Butchering Scam  Liquidity Mining Scam  Romance Scam  Imposter Scam,Mia      ,cmecrypto.com cme886.cuz cmebuy.com xcmerde3.top   
41,"Entity Impersonating Singapore Exchange, Coinhako (coinhakoxds.com)","A California resident reports that he lost more than $750,000 after striking up a relationship with a scammer calling herself “Jenny Wang.” The two communicated primarily over the instant messaging app Line Chat, and “Jenny” convinced the victim that he could make a lot of money trading cryptocurrency.",Pig Butchering Scam,Jenny Wang,coinhakoxds.com
42,Entity Impersonating Singapore International Monetary Exchange Limited or Singapore Internal Financial Exchange (SIMEX/SGX),"Victim reported meeting “Li Xiao” on LinkedIn, who then suggested they move further communication onto the Line app. There, Li Xiao claimed that she could offer advice on how to trade Binary Options through cryptocurrency and sent an invite link onto the platform. However, instead of downloading an app, the platform asked Victim to download a “configuration profile” onto his Apple device. Victim believed they were dealing with the Singapore International Monetary Exchange Limited, or Simex. Victim transferred approximately $480,000 worth of cryptocurrency from crypto.com to Simex in eight transactions. Victim was able to withdraw various small amounts from $100 to $2,500, but when he tried to withdraw $500,000 his request was rejected.    ",Pig Butchering Scam  Fraudulent Trading Platform  Imposter Scam,Li Xiao Marcella Arias   ,https://simexkyc.com/#/home www.simexrue.com simexyum.com simexdef.com/app 
43,Entity Impersonating Trust Wallet,"A California resident reported that they received an email purporting to be from a company they use to hold a crypto asset wallet that read “Your wallet will be suspended, and your assets will be frozen.” It went on to say that as a regulated financial company, in order to comply with KYC (“Know Your Customers”) rules they were required to verify all wallets on their platform. The email provided a link that read “Verify your wallet.” The California resident reports that the email was sent by an imposter posing as the real wallet company. The DFPI cautions consumers about scammers who impersonate a legitimate business to gain access to a user's systems and personal information for financial gain.  ",Identity Theft  Imposter Scam,phillipemarba@creators.gumroad.com  ,https://url6652.creators.gumroad.com  
44,Entity Impersonating legitimate crypto platform Radiant Capital,"A California resident clicked on a website that appeared as a sponsored ad on Google. The website address is shown as appradiantcapital.com or appradiant-capital.org. Once the California resident opened the website, someone attempted to open her wallet extensions and connect to different chains, and also repeatedly requested access to her assets in other accounts. The victim was able to freeze her accounts before losing any funds. The web address resembles that of Radiant Capital but does not belong to Radiant Capital at https://radiant.capital/.DFPI warns consumers and investors to beware of companies or websites pretending to be someone or something else.  ",Hacking  Imposter Scam,  ,https://appradiantcapital.com/ https://www.google.com/aclk?sa=l&ai=DChcSEwjX3KbR-vH9AhUILa0GHUAmB9YYABAAGgJwdg&sig=AOD64_3VG8JOtxYHxxUcNG1lhcoQPu1MwA&q&adurl&ved=2ahUKEwil6pzR-vH9AhXsDkQIHbCKAcUQ0Qx6BAgJEAE. 
45,Entity Impersonating legitimate exchange Changelly (https://changelly.com/),"A California victim was approached by Wenya “Alisa” Chen via Instagram, who then asked them to move the conversation to WhatsApp to continue a friendly relationship. At some point, Alisa introduced him to trading cryptocurrency options through a platform called “Changellytrade”. At different points, the victim was able to withdraw $11,000 and then $50,000. Eventually the victim transferred $1.2 million and believed his options trading had increased the value of the account to $1.35 million and then to more than $2.5 million. But when he attempted to withdraw his entire account, the order was stopped, and his account was blocked. He was then told that they could reactivate the account, if he paid a fee. He began to research and realized his money was not at Changelly.com, but at the fraudulent changellytrade.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  Imposter Scam,"Wenya ""Alisa"" Chen (M) Ph: 516-748-6065 Instagram: @zixi5504  ",https://changellytrade.com/#/    
46,Entity impersonating Benito Revilla,"A California Victim reports that he was approached online by a person claiming to be Benito Revilla about a crypto investment. In fact, it was a scam, and the website the scammer used, https://benitorevilla.com., is impersonating a legitimate broker-dealer agent in Texas, employed by USAA Investment Services. Working with USAA Investment Services, DFPI has posted a Consumer Alert about this imposter (https://dfpi.ca.gov/2023/01/20/website-https-benitorevilla-com-is-fraudulently-posing-as-a-california-licensed-investment-adviser/) and urges consumers to exercise extreme caution before responding to any solicitation offering investment or financial services. The victim in this case lost $500 after the scammer promised a profit in 10-days.      ",Pig Butchering Scam  Fraudulent Trading Platform  Advance Fee Scam  Imposter Scam,Benito Revilla      ,https://benitorevilla.com/      
47,"Entity impersonating Prosperous Group Ltd, prospers.business","A California resident reports that his elderly father has been scammed by a stranger on the internet. He says his father received a phone call from a stranger who then gained his trust by sending text message, and encouraging him to begin communicating through the Line app. Eventually, the stranger convinced the victim she could give him investment advice, and helped the victim move money in and out of bank accounts, retirement accounts and crypto exchanges. The victim eventually lost at least $2.7 million.",Pig Butchering Scam,Lyric,profintech.live
48,ExNow ExNow-Digital Currency Exchange,"A California victim met “Diana” on WhatsApp who convinced them to “invest” $7,200 in an account on a website called “ExNow.” After a couple of months, the victim's account balance appeared to have grown to $239,167. When the victim tried to withdraw that money, ExNow required them to make an upfront payment of $35,000 toward taxes on their gains. The victim then tried to withdraw their original investment of $7,200, but were still instructed to pay the $35,000 first. To date, the victim has been unable to withdraw their money from ExNow and the website is no longer operational.",Fraudulent Trading Platform,Diana,https://www.exnow.com/
49,FPMOTC,"A California resident was persuaded by a love interest they met online to download an app called FPMOTC. The love interest showed how lucrative this app was for making money. The victim took out a loan to purchase crypto assets and then transferred them to an account they opened on the FPMOTC app. But when the victim wanted to withdraw funds, they were told that the account was frozen. First, the app told the victim to deposit more money to confirm it was their account. After the victim did so, they were told to deposit even more money, otherwise a fee of 10% would be taken from their account each day. The victim was unable to recover their assets and the website is no longer operational.    ",Romance Scam  Pig Butchering Scam  Fraudulent Trading Platform,    ,fpmotc.vip    
50,FTX DEX,"The victim started investing and trading on what he believed was a cryptocurrency platform. He believed he had made profit and requested a withdrawal from the platform. He was told he needed to pay taxes on the profits before he could withdraw, which he did, but then was told that had overpaid the tax by a few cents, and therefore had to pay the entire tax amount again. After he made that tax payment, the platform said he would be charged a 10% Platform Service charges. He then provided a new crypto wallet address for the withdrawal funds but was told the withdrawal would be blocked unless he paid another 10% for address verification. When he paid that, he was told because he had made multiple transactions, he needed to re-verify his account and pay another 10% fee on the balance. After paying the verification charges, he was told his account had been frozen again due to multiple withdrawal attempts and that he had to pay another 10% fee. After paying the fee to unfreeze his account, he was told because his credit score was not good, he needed to pay approximately $40,000 to fix his credit score. He paid the money fix his credit score and was charged another 10% service fee. Then his account was frozen again, and he was told to pay another $10,000 to unfreeze it. He made the payment in two installments but was told they did not accept the second installment and that he needed to repay that installment again of his account would be frozen again. He repaid that second installment amount by the deadline and was he had missed it because it was based on Eastern Standard Time and the victim was in California. Thus, they asked him to repay that amount again within 7 days or they would freeze the funds again. The victim reports he invested his life savings of approximately $600,000, taken multiple loans from banks, withdrew my 401k savings, and borrowed money from friends hoping to get his money back. The company operated the websites at daoftxdex.com.",Imposter Scam,,daoftxdex.com
51,FUN ETH,"The victim met “Yun Wang” on the Facebook Dating App. She got him interested in Ethereum cryptocurrency mining and sent him a link for a company in which he could invest, fun-eth.com. Victim opened a Coinbase wallet and transferred money to fun-eth.com with Yun Wang’s encouragement. He believed he had profits of more than $14,000, but then his money disappeared. The company operated the websites at https://fun-eth.com and https://eth-fun.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  Romance Scam,Yun Wang (FB: Facebook.com/yun.wang.56863221)   ,www.fun-eth.com    
52,FX Alliance Traders fxalliance-trader.com fxalliance-traders.com,A California resident alerted the DFPI that the website fxalliance-traders.com promised high yields on crypto assets but really stole people’s money. The website is no longer operational.,Fraudulent Trading Platform,,http://fxalliance-trader.com/
53,File Coins Foundation File-coinfo.com,"A California victim got a notification on the Viber App about “fast profits in Bitcoin investments.” Intrigued, the victim followed a link to “Filecoins Foundation.” There, he was connected with “Adeline” who convinced him she could teach him how to trade Bitcoin. Over time he sent $58,130.15 to the site. Following Adeline’s instructions, he believed he was trading Bitcoin every day and the website showed his account had grown to $1.5 million. But when he tried to withdraw his money, he was told he needed to a “profit tax” of approximately $26,000.00. He told them to just withdraw that from his profits but was told he had to pay the tax before they would transfer the money. The victim at that point knew he had been scammed. He borrowed money from friends to invest, and realizes all the profits are fake, but still hopes he can get the money he invested back as this has greatly affected his whole family.",Fraudulent Trading Platform,Adeline,http://www.file-coinfo.com/
54,First Mining Bitcoin firstmining.top,"A California victim received an email which included a link to https://firstmining.top/account/. When he clicked the link, he accessed documents that showed he had an account with crypto assets in it that had accumulated more than $38,000 dollars from the website’s ”cloud mining” operations. The victim tried to access the funds, but was instructed that they needed to pay a small fee first and was asked to provide their banking account information. The victim paid the fees but did not receive any money, and the website is no longer operational.",Liquidity Mining Scam,,http://firstmining.top/
55,Fitbela Epro Limited (Fitbela),"The victim joined a trading blog on social media where he met “Mr. Charlie” and “Tina” claiming to be from Fitbela Epro Limited (“Fitbela”), a Forex currency trading company, located in the United Kingdom. Mr. Charlie and Tina convinced the victim to open a Forex trading account on the Meta 5 Trading platform, promising high returns. The victim sent $10,000 and was told that his account had quickly increased in value and was encouraged to invest even more, eventually investing $92,000, wiring the money from his bank account as Mr. Charlie and Tina directed. After he was told his investment was worth $200,000, the victim requested a full withdrawal of the funds in his account. At that point, he was told he needed to pay $87,000 in taxes before he could receive the funds. The victim now believes it was a scam. The company operated the websites at https://fitbela.org; https://fitbelaepro.com.tw; https://fitbela.com; and https://fitbela.xyz.    ",Pig Butchering Scam  Liquidity Mining Scam  Imposter Scam,Charlie Tina   ,fitbela.org fitbelaepro.com.tw fitbela.com fitbela.xyz 
56,Foundry Pro Node Mining Foundrypro.net,"A California victim reports he met “Xingzhao Li” on Facebook who directed him to move the conversation to WhatsApp where they became friends. No romance was involved, just shared interests and friendly chat. She built up the victim’s trust and claimed to have an aunt who managed a successful cryptocurrency analyst group for a large investment company. Xingzhao introduced the victim to “node mining,” which she explained involved “swap” contracts that bet on the value of Bitcoin increasing in the short term. She showed the victim how to open an account at the website FoundryPro.net and victim invested a modest amount of from an account set up at crypto.com. The victim made an initial investment, and after he made a profit, he was able to withdraw the crypto assets and even convert them to money. The victim then proceeded to invest more money. At some point, the FoundryPro.net platform told him that because the profits in his account were greater than his principal invested, he needed to pay an “absenteeism fee” to cover the mining costs. The victim paid that, then attempted to withdraw $1 million from FoundryPro.net and deposit into Binance.US. Although the FoundryPro.net website showed the transfer was successful, the money never showed up in his Binance wallet. When he complained, he was told he needed to pay a 5% “recovery fee” or $50,000. After this, he was told his FoundryPro.net account was “frozen” because he had requested too many withdrawals in too short a period. Then, he lost contact with both FoundryPro.net, and Xingzhao. At some point the victim looked up Xingzhao’s “aunt” but couldn’t find any record of her working at the firm she claimed she did. He has lost more than $2 million in this scam.",Pig Butchering Scam,Xingzhao Li,http://foundrypro.net/
57,GE Chains,"The victim was referred by a friend to gechains.com, a cryptocurrency trading platform. Victim opened an account, and started trading with a small amount of money, but then got a call from “Betty” an associate at GE Chains, who asked the victim to put more money into the trading account, so the victim deposited $5,000 more into account. Betty pushed him again to put more money in, so he deposited $5,000 more. Then a week later Betty asked him to deposit another $10,000. This time, the victim said no, and was told his account was suspended. The victim asked to withdraw his money, and after about a week Betty agreed he could withdraw his money if he paid commissions to her of 20% . She also told him his account balance had grown to more than $28,000 and the commissions would be based on that amount. The victim borrowed more than $5,600 from a friend to pay for it , but still couldn’t withdraw his money. Betty then told her to get his friend, who also had not been able to withdraw money, to put more money in, then they both could withdraw together. The victim pleaded with Betty to let him withdraw his money, so she put him in contact with the “service department” where he talked to “Susie” who told him he to pay a tax 15%, or more than $4,200, within a few days or else his account would be permanently frozen, and his account would be turned over to a “monetary authority” who would sue him for his money. The company operated the website https://GEChains.com.",Fraudulent Trading Platform,,https://gechains.com/
58,HGEex.com,"The victim met “Ms Vianne” on the LINE app. Vianne convinced the victim to open an account with HGEex to trade options for profit. Vianne showed the victim she had made profits and asked him to help her trade, which he thought he was doing successfully. Vianne then convinced the victim he should invest his own money. He sent more than $20,000 to a cryptocurrency exchange, then transferred the cryptocurrency to an account on the HGEex website. At some point, he tried to withdraw some of his funds, but was told by HGEex customer service that his account was frozen. They also sent an email saying: “Hello, upon inquiry, your investment profit in this exchange has exceeded 100% of the principal amount and has met the tax requirement. According to the cryptocurrency tax requirements, you need to pay 30% of your total assets (7950.384 USDT) as personal income tax. Your account can be restored to normal use after the tax is paid.” At this point, the victim realized it was a scam, and tried to talk to Ms Vianne on LINE. Vianne told the victim that she did pay the exchange tax and was able to get 80% reimbursed. The company operated the website at HGEex.com.  ",Pig Butchering Scam  Fraudulent Trading Platform,Ms Vianne  ,HGEex.com  
59,HODL Soft Ltd,"The victim met a man online, and they began a relationship. After talking about the future, the scammer told her that for a better retirement she should invest in Hodlsofltd.com. Victim transferred money into a cryptocurrency exchange and then invested in the website. She was told she needed to keep her money there for four months before she could withdraw. She could view her account statement online showing large returns. However after four months, when she tried to withdraw her money, the company starting making excuses for not giving her money back. The company operated a website at https://HodlSoftLtd.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  Romance Scam,    ,https://HodlSoftLtd.com https://hodlsoftltd.com/education.html   
60,HOO.com HOO Tech Ltd,"A California Victim opened a digital wallet on HOO.com and deposited money. At some point, he believed he had $10,000 in his account. Then, HOO.com claimed it was going to change his money into their own token “HUSDT.” The victim says this rendered his account valueless. Now neither his wallet nor the HOO website are functioning.",Fraudulent Trading Platform,,https://hoo.com/
61,Helius Capital Limited Helius.pro,"The victim met a stranger on WhatsApp calling herself “Lydia ( Chin Liu )” who claimed to live in Manhattan. She encouraged the victim to open an account at MT5 Coin Tiger and said she would teach him to invest. Later, she suggested the victim change to a new platform that Lydia claimed belonged to her family in Hong Kong. Lydia showed the victim how to transfer money from Coin Tiger to her family’s platform, and he made several transfers totaling approximately $30,000. Eventually, his account showed a balance of more than $ 250,000. At some, the website server stopped working. The victim contacted their online customer service and was told there in the process of performing maintenance and upgrading, and they would contact him by email when it was complete. Instead, he was no longer able to access the website. The victim sent numerous messages to Lydia, but she only told him to be patient and wait for the website to complete its maintenance. The company operated the website at https://www.helius.pro/en/.",Pig Butchering Scam,Lydia (Chin Liu),https://www.helius.pro/en/
62,Hong Kong Selead Group Limited hkselead.com Copper Crypto (Entity Impersonating Copper Technologies),"A California victim received a friend request on Facebook from “Helen” (aka Zhong Leying) who eventually persuaded him to invest in crypto assets. She sent him a link to the trading platform “Hong Kong Selead Group Limited” where he registered for a foreign exchange trading account. The victim made multiple wire transfers to the site, sending approximately $2.9 million. With the assistance of “Sally” at Hong Kong Selead Customer Service, he thought he was making profitable trades, and eventually believed his account was worth more that $15 million. At some point, Sally helped him transfer his crypto assets to an entity called “Copper Crypto,” which he believed was a legitimate entity, and he communicated with their Customer Specialist “Nicole” on WhatsApp. But when he tried to withdraw his money, Nicole told him he need to pay 20% in tax on his profit, or more than $1.5 million. Nicole told him that according to the regulations of the “Money Authority” the taxes needed to be paid from an external wallet and could not be deducted from his account. The victim then called the FBI and is working with them. He has not been able to get any of his money back. Both UK and Hong Kong authorities have posted warnings about Hong Kong Selead Group. “Copper Crypto” appears to have impersonated another company, even using their logo.",Pig Butchering Scam,Helen (aka Zhong Leying),hkselead.com
63,Hydefieco,"The victim was contacted by “George” about a cryptocurrency investment, promising that if she invested $250,000 and the company reached the investment goal, the victim could qualify for seven Ethereum tokens. Not only did the victim lose the $250,000, but the scammers were able to steal another $40,000 from the victim’s wallet. Scammers then told victim she needed to invest another $310,000 by a certain date to get their money back. The company operated a website at https://www.hydefieco.com.      ",Liquidity Mining Scam  Pig Butchering Scam  Fraudulent Trading Platform  Advance Fee Scam,Fan Zhang (aka George) Sophie     ,https://www.hydefieco.com      
64,ICEXAS.COM ICEAX.COM ICEX (Entity may be impersonating Intercontinental Exchange),"Two California victims report falling victim to the International Cryptocurrency Exchange Trading Platform, which operated various websites to engage in fraud. The first victim met “Serena” on WhatsApp. She showed the victim how to buy crypto assets from legitimate sites, and then transferred it to the crypto trading site, icetrad.cc. After a few weeks of “trading” on the site, Serena said it was time to withdraw the funds. but when the victim tried to do so, he got a message from customer support that he needed to pay taxes, and the website would forward them to the IRS on his behalf. The victim did not fall for this but shortly after the site disappeared with all his money, which was about $14,000. The second victim was involved in WhatsApp group chat, where the group was talking about profits, they made from trading on a platform called ICEX (Intercontinental Exchange). When the victim asked questions, a couple by the name of “Paul” and “Anna Chen Lin” took turns answering them, as did “Nanoor” and “Kawtargh.” Eventually the victim was invited to an online Discord and Telegram community chat group, where they shared a link to ICEX link. “Anna” demonstrated live trading on the icextee.top platform, Through the Discord Channel, the victim was then directed to create an ICEX account and Crypto.com trading account and was walked through how to trade. On his initial investment of $500, he was shown he made a profit of $3,000. After that, the victim took out personal loans totaling $140,000, and borrowed money from friends, hoping to increase profits. At some point, he believed he had made an $890,000 profit. But before he could access anything, he was first asked to pay an “Accounts Verification fee” of $17,000, then $6,000 for taxes. Even though he paid these, he was denied further access to his account. After that, the victim could not reach any of the scammers on any platform he had previously used.",Pig Butchering Scam,Paul,http://icexax.com/
65,Infinity Option,"The victim met “Mike Vestil” on Instagram. They talked and at some point Mike told her she could make money investing. He introduced her to “Jason Brandon”, who offered to show her how to trade Bitcoin to make money. Jason instructed her to start a plan with a minimum of $500-$1000 for 5-7 days trade. The victim transferred Bitcoin into Jason’s wallet at infinityoptions.net. After that, Jason asked for more money and said if the victim didn’t pay she wouldn’t be able to get her money back. The victim lost $18,000. The company operated a website at https://www.InfinityOption.net.  ",Pig Butchering Scam  Fraudulent Trading Platform,Mike Vestil  ,http://infinityoption.net/  
66,Julysil julysil-support.com julysil-bit.com julysil-coin.com julysil-pro.com julysilcoin.com julysilpro.com juzhiju.com,"A California victim signed up for what she believed to be a cryptocurrency exchange platform called Julysil at http://justtice.com/. She registered on the platform through an individual on twitter named ‘Annie.’ The victim attempted to withdraw $36,000 from her account, which she believed held $136,000. However, she was unable to complete the withdrawal, receiving an email stating that it failed due to an incorrect withdrawal address and that the withdrawal funds have been returned to her account. Two days later, the exchange website went offline. Subsequently, the victim received an email from support@julysil-support.com claiming her account was under review by the World Anti-Money Laundering Center and that if she paid $8,000 she would get “priority” review. The victim did not get any of her money back. Julysil appears to have been a scam platform.",Fraudulent Trading Platform,Annie,https://justtice.com/
67,Kenskr AI kenskrksr.com,A California victim was introduced to an AI investment platform through somebody they met on the Facebook dating app. The scammer showed the victim the website for the investment platform – kenskrksr.com – as well as a white paper about the AI trading program. The scammer also introduced the victim to a Telegram discussion channel where others convinced them to invest.,Fraudulent Trading Platform,,https://www.kenskrksr.com/
68,LIQULDOHN.COM,"Two California victims fell victim to the same fraudulent crypto asset scam after scammers directed them to the website “liquldohn.com/h5.” The first victim met Fergus Lee through LinkedIn, and they then communicated through the online app Line. Fergus showed the victim how to set up an account on Crypto.com and gave him the link to “liquldohn.com/h5.” The victim started with $1,000 and got back $607 on his first trade. Fergus then convinced the victim to withdraw from his 401(k) retirement account, and transfer to Liquldohn. The victim sent almost $50,000 in three separate transactions. At some point, the victim believed he had made a profit of more than $200,000. But when he tried to withdraw the funds, Liquldohn’s “customer service” told the victim his account would be frozen and he would have to deposit $18,000 to” unfreeze” it. The victim has not been able to recover funds. The second victim, an elderly man with diminished mental capacity, was reported by a financial advisory firm. The firm reported that their customer was contacted through Linkedin, by someone presenting herself as a computer science major at UC Berkeley, which happened to be the victim’s college alma mater. The scammer convinced the victim to withdraw money from his account at the financial advisory firm and transfer it to Liquldohn.com. The victim transferred $880,000 from a bank account. Later, the victim also attempted to withdraw $220,000 from his trust account and $40,000 from his IRA account, but the financial advisory firm denied this request and reported the fraud to DFPI.  ",Pig Butchering Scam  Fraudulent Trading Platform,Fergus Lee  ,https://liquldohn.com/#/home https://liquldohn.com/h5 
69,Lisa Harris,"A victim reported they met “Lisa Harris”, who had a presence on multiple online platforms (i.e., Telegram ID@LisaHarrisup, https://t.me/lisareviews, and Telegram channel name Lisa Trader.) Lisa enticed the victim with an investment opportunity that promised good returns in 24 hours. Victim sent $100 worth of crypto assets through kucoin exchange, but never got back any principal or profit.  ",Advance Fee Scam  ,Lisa Harris (Telegram ID: @LisaHarrisup) (Telegram channel: Lisa Trader),https://t.me/lisareviews  
70,MT7 Coin mt7coin.com,"A California victim believed he was trading on the cryptocurrency exchange platform, https://www.mt7coin.com/. The victim had initially invested approximately $700 in the exchange and believed his account had grown to over $10,000. Hoping to cash out his earnings, he tried to make a withdrawal. Instead, he was contacted by an individual named “Dora” who insisted that although the exchange owes him $9,500, he would need to pay $500 as a prerequisite to receiving his funds. The website is no longer operational and the victim did not get any of his money back.",Fraudulent Trading Platform,Dora,http://mt7coin.com/
71,MUFG Pro,"The victim met “Dylan Lee” on Zoosk and started communicating with him on WhatsApp. Dylan told the victim he invested in Bitcoin and invited her to invest. The victim made an initial investment of $3,000. Dylan then told the victim her account was now worth $250,00 with interest. Dylan told the victim to withdraw the money from MUFG Pro, but they told the victim she had to pay $42,000 in taxes. Then MUFG Pro told the victim her account was frozen and she had to pay $32,00 to unfreeze it. After she paid that, she was told to pay more money to a third party to deal with another issue with her account. Victim finally realized it was a scam. The company operated the websites at https://www.mu-fgpro.info and Mufg-Pro.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  Advance Fee Scam,Dylan Lee    ,https://www.mu-fgpro.info/    
